State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
Iowa,IA,Davenport,50.49019607843137,98.22713785450978,27.327461810220427,86.1111111111111,27.96728682324604,2.1213736743072187,49.50980392156863,78.40361698844573,IA,8,124,99678,7.25,244.38
California,CA,Gardena,40.278520499108744,120.77168605013458,13.79310344827586,55.555555555555564,64.49648157566111,6.5139637622301905,59.721479500891256,70.65486698221059,CA,9,92,58835,13.0,252.37
Illinois,IL,Northfield township,28.851540616246496,114.32418943156276,32.028810270189574,80.27777777777777,36.03479850852733,3.4762765154947903,71.1484593837535,85.71454339494548,IL,5,134,85173,10.0,287.28
New Jersey,NJ,Piscataway township,11.029411764705882,118.6055529538935,28.735632183908052,72.8395061728395,26.09618502689975,16.363818975,88.97058823529413,78.09865623874428,NJ,6,140,55964,11.0,313.56
Kansas,KS,Topeka,55.962762297901634,80.02224359730614,41.09195402298851,56.111111111111114,23.883047127467304,2.031607897608509,44.037237702098366,84.91262802652513,KS,2,77,127914,7.25,198.98
Michigan,MI,Warren,20.58823529411765,106.92223041750275,27.586206896551722,62.96296296296297,21.068850648049292,1.9570746212199492,79.41176470588233,70.62065000548797,MI,9,121,134081,9.65,301.99
Ohio,OH,Green township,29.689997774135453,132.42584658569737,28.942678011643526,89.72222222222221,38.82956926194696,3.494799253847665,70.31000222586455,77.70104049668628,OH,2,54,58328,8.7,254.88
California,CA,Whittier,11.764705882352944,139.50800103770234,30.794252997398537,44.444444444444436,57.02563912648036,4.679743715134784,88.23529411764706,83.24085433653686,CA,9,74,85319,13.0,291.89
Connecticut,CT,Bridgeport town,46.202840954195445,115.35090140630692,22.190112330198538,70.74314574314573,46.054439140459216,2.6311799231804995,53.79715904580456,71.23535261935567,CT,4,43,144864,12.0,220.54
Alabama,AL,Dothan,25.490196078431374,112.25104943916428,18.103448275862068,71.2962962962963,21.49882719188703,0.9645962129497022,74.50980392156862,61.1614380920483,AL,2,108,66097,7.25,289.66
Colorado,CO,Greeley,59.31372549019608,88.33792637694663,14.482758620689655,47.22222222222222,45.14753710296277,3.7116554615204747,40.68627450980392,65.1604579646312,CO,8,70,93308,12.0,205.53
Michigan,MI,Shelby charter township,11.029411764705882,88.72328264416804,21.20689655172414,100.0,33.36617980180867,2.7270156852149707,88.97058823529413,81.89118303460852,MI,8,145,73876,9.65,364.5
New York,NY,Tonawanda town,57.189518396476785,107.39308271096083,30.56682443092179,69.57621082621083,37.30929505337781,6.305212804278931,42.810481603523215,65.83811339302386,NY,9,45,73535,11.8,185.65
California,CA,Baldwin Park,22.8158674818429,108.10528940723258,18.69328493647913,72.19424094424093,47.275449734435995,4.224900516422349,77.18413251815709,77.07241046597022,CA,3,128,75421,13.0,310.48
California,CA,Vacaville,19.11764705882353,159.06281705373192,33.025934998680476,67.85340802987861,52.45713834820435,4.402307111534926,80.88235294117645,80.73324233795707,CA,7,22,92557,13.0,251.86
New Jersey,NJ,Bayonne,24.264705882352942,173.40981043802722,30.17241379310345,86.82539682539682,39.98781857690988,4.256090414909642,75.73529411764707,69.69992909318158,NJ,9,25,63050,11.0,238.68
New Jersey,NJ,Jersey City,46.74982492997199,167.51654957280772,50.7183908045977,45.13888888888889,63.46007226008616,6.306403538858286,53.25017507002802,83.69759803900831,NJ,6,50,248324,11.0,172.92
Florida,FL,Miami,53.14827937475752,215.47727241818745,39.41048297072279,62.938267236509645,59.75595163853514,5.7707531011403175,46.85172062524249,77.88777975769135,FL,3,117,400779,8.56,171.52
Illinois,IL,Oak Park township,9.313725490196077,189.92743345558011,32.75862068965517,74.39350325478844,40.601684962985004,2.231308610952592,90.68627450980394,69.80735225806153,IL,2,38,51896,10.0,264.38
New Jersey,NJ,Paterson,81.57679738562089,92.936514897937,55.555555555555564,54.62962962962962,37.300465177923996,3.2848518979519774,18.423202614379086,68.1556243710011,NJ,6,30,146391,11.0,107.57
Georgia,GA,Roswell,9.640522875816993,287.8920116622937,31.03448275862069,78.7037037037037,42.44674693698195,2.6977930814357958,90.359477124183,74.31144770892314,GA,2,121,88794,5.15,248.07
California,CA,Salinas,61.764705882352935,99.45249161521683,27.58620689655172,52.03703703703703,93.51989828470859,8.037943522921621,38.23529411764706,78.28105681327725,CA,3,42,150887,13.0,190.97
Connecticut,CT,Waterbury,49.01960784313725,92.33710646687231,36.09195402298851,47.22222222222222,23.702456979055448,2.1208677819393653,50.98039215686275,76.29786027842745,CT,3,11,110350,12.0,186.04
Mississippi,MS,Gulfport,98.52941176470587,123.91648563577513,12.06896551724138,100.0,21.079600061645234,4.03659785918261,1.4705882352941178,72.43332202574081,MS,7,30,67904,7.25,90.03
Georgia,GA,Johns Creek,36.02941176470589,88.33792637694663,36.206896551724135,38.888888888888886,44.18008987932785,3.330480517170184,63.970588235294116,79.69104118342824,GA,1,65,77090,5.15,243.17
Florida,FL,Sanford,38.13725490196079,186.75092518492883,29.310344827586214,97.22222222222223,32.92545384437499,7.360409584378358,61.862745098039206,69.13383440952467,FL,1,125,53971,8.56,226.26
California,CA,Stockton,77.72092038396387,147.4815362683297,67.20489759282863,62.73148148148147,34.397931553205034,4.669180494802613,22.27907961603614,80.63601173510939,CA,3,123,292888,13.0,114.49
Iowa,IA,Ankeny,36.39914052109431,152.81785970782155,23.971227113912366,94.44444444444444,33.667163382495104,7.048610539036785,63.60085947890568,72.48959531467351,IA,9,56,45845,7.25,231.99
Maryland,MD,Baltimore,74.27520186678031,122.32567845465395,50.37601391611886,76.57108721624849,44.24390917636,2.4956515386889513,25.724798133219696,73.74616607808858,MD,0,20,620915,11.0,130.08
New Jersey,NJ,Newark,70.63103318250377,255.1466362955627,63.021346469622344,64.58333333333333,46.90829104997832,4.397873513579172,29.368966817496233,76.3904628896564,NJ,2,134,277175,11.0,90.84
Michigan,MI,Novi,22.058823529411764,183.3301115348321,2.2988505747126435,71.48148148148148,28.472509262255393,1.4063038132823467,77.94117647058823,91.40613024978242,MI,0,148,55287,9.65,286.81
Georgia,GA,Smyrna,58.90216381680881,151.6818130415898,34.416234228489195,78.1123743482234,42.567677839936316,3.83236921090535,41.09783618319119,81.2537751160099,GA,8,92,51140,5.15,182.03
Mississippi,MS,Southaven,7.352941176470589,97.8371497323179,15.517241379310345,60.850215817321086,37.352868569204226,6.632794255784866,92.64705882352942,70.89969486206815,MS,6,14,49125,7.25,310.75
Illinois,IL,Thornton township,48.828345151874565,113.56423571473447,32.31896814870953,74.77869352869355,28.345474899176228,2.6913196690712793,51.171654848125435,73.18113124974006,IL,3,149,169509,10.0,238.72
Ohio,OH,Beavercreek township,53.698014478511325,110.4086813884055,33.545745602033634,63.444892768262335,36.8905136034127,4.8457051541567315,46.30198552148869,79.35484848116546,OH,5,72,52252,8.7,197.54
Texas,TX,Mission,31.617647058823533,120.81616832332179,15.517241379310345,75.55555555555556,45.3365385408282,3.4719814149745667,68.38235294117646,73.96555791328724,TX,4,85,78118,7.25,274.08
Illinois,IL,Naperville township,15.441176470588236,102.55899978087128,36.82758620689656,70.37037037037037,34.441121161403025,4.082527933139605,84.55882352941175,70.11852520285055,IL,3,30,100013,10.0,282.91
Oklahoma,OK,Oklahoma City,49.46447403070714,114.90250408237922,20.894261681419827,76.73419660261764,30.403291207626857,2.4848787916040336,50.53552596929286,64.4990249161075,OK,4,134,582516,7.25,250.75
Delaware,DE,Wilmington,69.41917943648048,197.0220499413916,53.16091954022989,60.83333333333334,33.98887797511655,2.2248355660792147,30.58082056351953,65.4781807296818,DE,5,17,70764,9.25,84.09
California,CA,Antioch,45.58823529411765,60.06552845439798,108.6206896551724,86.1111111111111,54.17704452355532,4.067726030085352,54.411764705882355,85.20795093784103,CA,6,135,103080,13.0,230.49
Pennsylvania,PA,Bensalem township,26.641106442577033,147.50091295677237,22.356321839080465,54.05555555555556,53.672185723119426,5.203151592237272,73.35889355742297,82.46792082273589,PA,7,125,60420,7.25,276.11
New Jersey,NJ,Gloucester township,41.1764705882353,146.32838751374118,40.6397307134421,66.49165649165647,48.44794293111761,4.46910915081342,58.82352941176471,79.6089812915891,NJ,1,84,64611,11.0,213.7
